p,m
6,32.07152557
7,27.15069389
8,23.38965034
9,20.43085861
10,18.04567337
11,16.33131218
12,14.66045475
13,13.41949558
14,12.4252243
15,11.46664429
16,10.76488686
17,10.17035866
18,9.530895233
19,9.089081764
20,8.585721016
21,8.248864174
22,7.952867031
23,7.581085205
24,7.347725868
25,7.139507294
26,6.853459835
27,6.685287952
28,6.532112598
29,6.304821968
30,6.178446293
31,5.983251095
32,5.951859474
33,5.847537994
34,5.607432842
35,5.45638752
