p,m
6,22.100214
7,19.3892765
8,17.09926987
9,15.21160698
10,13.67600727
11,12.22850227
12,11.19924068
13,10.2058363
14,9.294381142
15,8.643066406
16,7.979768753
17,7.418446064
18,7.052624702
19,6.646132946
20,6.418279171
21,6.13161087
22,5.900859833
23,5.820539951
24,5.680401325
25,5.58156538
26,5.61502409
27,5.589139462
28,5.601619244
29,5.728652954
30,5.807693481
31,5.995301723
32,6.116345882
33,6.405900955
34,6.955904007
35,7.682496548
