f,B2
0,0.571033856
1.110666667,0.80389876
2.221333333,3.78E-07
3.332,0.017435405
4.442666667,3.46E-07
5.553333333,0.003044605
6.664,2.87E-05
7.774666667,6.00E-04
8.885333333,2.70E-07
9.996,2.34E-04
11.10666667,2.39E-07
12.21733333,8.81E-05
13.328,1.09E-06
14.43866667,4.19E-05
15.54933333,1.89E-07
16.66,2.24E-05
17.77066667,1.65E-07
18.88133333,1.13E-05
19.992,1.99E-07
21.10266667,6.21E-06
22.21333333,1.23E-07
23.324,3.54E-06
24.43466667,1.05E-07
25.54533333,1.96E-06
26.656,9.33E-08
27.76666667,1.11E-06
28.87733333,6.61E-08
29.988,6.94E-07
31.09866667,5.46E-08
32.20933333,4.69E-07
33.32,4.29E-08
34.43066667,3.72E-07
35.54133333,3.73E-08
36.652,3.13E-07
37.76266667,3.55E-08
38.87333333,2.76E-07
39.984,3.23E-08
41.09466667,2.39E-07
42.20533333,3.05E-08
43.316,1.85E-07
44.42666667,3.18E-08
45.53733333,1.42E-07
46.648,4.35E-08
47.75866667,1.04E-07
48.86933333,5.05E-08
49.98,7.26E-08
