Time,M
0,3582010.83
0.0030012,3580735.479
0.006002401,3578408.144
0.009003601,3578810.928
0.012004802,3577661.405
0.015006002,3575864.663
0.018007203,3573966.073
0.021008403,3572084.677
0.024009604,3570246.07
0.027010804,3568408.917
0.030012005,3566252.637
0.033013205,3563944.712
0.036014406,3561642.93
0.039015606,3559424.608
0.042016807,3557253.154
0.045018007,3555128.109
0.048019208,3553049.014
0.051020408,3551015.401
0.054021609,3549221.161
0.057022809,3547560.373
0.06002401,3546014.752
0.06302521,3544583.913
0.066026411,3543267.484
0.069027611,3542148.515
0.072028812,3541210.407
0.075030012,3540425.56
0.078031212,3539793.819
0.081032413,3539315.061
0.084033613,3539115.431
0.087034814,3539243.723
0.090036014,3539608.39
0.093037215,3540209.605
0.096038415,3541047.57
0.099039616,3542317.978
0.102040816,3544330.5
0.105042017,3546784.463
0.108043217,3549680.299
0.111044418,3553018.465
0.114045618,3556723.593
0.117046819,3560318.854
0.120048019,3564042.534
0.12304922,3567845.46
0.12605042,3571678.452
0.129051621,3575492.306
0.132052821,3578340.054
0.135054022,3580569.253
0.138055222,3582067.084
0.141056423,3582705.266
0.144057623,3582355.438
0.147058824,3582174.899
0.150060024,3581874.108
0.153061224,3581216.623
0.156062425,3580219.584
0.159063625,3578900.075
0.162064826,3577344.649
0.165066026,3575596.737
0.168067227,3573650.465
0.171068427,3571533.486
0.174069628,3569273.404
0.177070828,3566983.715
0.180072029,3564805.442
0.183073229,3562699.239
0.18607443,3560712.619
0.18907563,3558893.075
0.192076831,3557175.675
0.195078031,3555192.153
0.198079232,3553204.267
0.201080432,3551210.636
0.204081633,3549209.892
0.207082833,3547211.677
0.210084034,3545432.418
0.213085234,3543720.56
0.216086435,3542075.782
0.219087635,3540497.784
0.222088836,3538986.285
0.225090036,3538188.817
0.228091236,3537783.534
0.231092437,3537690.108
0.234093637,3537908.479
0.237094838,3538438.622
0.240096038,3539117.469
0.243097239,3539965.693
0.246098439,3541045.464
0.24909964,3542357.077
0.25210084,3543900.86
0.255102041,3546023.891
0.258103241,3548906.838
0.261104442,3552266.402
0.264105642,3556103.084
0.267106843,3560417.412
0.270108043,3564859.362
0.273109244,3568599.592
0.276110444,3572085.571
0.279111645,3575204.934
0.282112845,3577845.261
0.285114046,3579936.697
0.288115246,3581712.584
0.291116447,3582890.004
0.294117647,3583390.817
0.297118848,3583136.818
0.300120048,3582049.728
0.303121248,3581318.667
0.306122449,3580359.601
0.309123649,3579156.719
0.31212485,3577747.129
0.31512605,3576167.88
0.318127251,3574413.464
0.321128451,3572523.365
0.324129652,3570539.408
0.327130852,3568493.41
0.330132053,3566417.142
0.333133253,3564271.817
0.336134454,3562054.406
0.339135654,3559823.531
0.342136855,3557599.28
0.345138055,3555401.727
0.348139256,3553305.239
0.351140456,3551361.991
0.354141657,3549493.637
0.357142857,3547699.751
0.360144058,3545979.911
0.363145258,3544379.523
0.366146459,3543073.944
0.369147659,3541922.436
0.37214886,3540924.75
0.37515006,3540080.661
0.378151261,3539389.563
0.381152461,3538833.076
0.384153661,3538424.003
0.387154862,3538162.423
0.390156062,3538048.452
0.393157263,3538082.243
0.396158463,3539135.919
0.399159664,3540819.84
0.402160864,3542996.644
0.405162065,3545666.694
0.408163265,3548830.384
0.411164466,3552249.386
0.414165666,3555870.791
0.417166867,3559755.519
0.420168067,3563870.244
0.423169268,3568181.651
0.426170468,3572143.333
0.429171669,3575203.481
0.432172869,3577651.536
0.43517407,3579347.496
0.43817527,3580151.287
0.441176471,3580340.303
0.444177671,3580943.082
0.447178872,3581201.447
0.450180072,3581124.713
0.453181273,3580722.125
0.456182473,3580004.627
0.459183673,3579000.759
0.462184874,3577710.201
0.465186074,3576143.873
0.468187275,3574312.65
0.471188475,3572227.359
0.474189676,3570200.76
0.477190876,3568136.963
0.480192077,3566054.764
0.483193277,3563993.453
0.486194478,3561992.289
0.489195678,3559959.715
0.492196879,3557886.699
0.495198079,3555803.609
0.49819928,3553709.994
0.50120048,3551605.398
0.504201681,3549667.845
0.507202881,3547952.925
0.510204082,3546339.193
0.513205282,3544826.265
0.516206483,3543413.77
0.519207683,3542171.754
0.522208884,3541199.948
0.525210084,3540397.587
0.528211285,3539764.531
0.531212485,3539300.668
0.534213685,3539042.387
0.537214886,3539164.228
0.540216086,3539531.161
0.543217287,3540143.366
0.546218487,3541001.057
0.549219688,3542104.482
0.552220888,3544051.907
0.555222089,3546442.674
0.558223289,3549274.882
0.56122449,3552548.993
0.56422569,3556265.495
0.567226891,3559927.602
0.570228091,3563615.958
