f,B2
0,0.147498678
4.165,0.084542192
8.33,3.86E-08
12.495,8.09E-04
16.66,7.03E-08
20.825,5.28E-05
24.99,7.46E-07
29.155,3.74E-05
33.32,2.23E-07
37.485,1.02E-05
41.65,2.49E-07
45.815,1.03E-06
49.98,4.90E-07
