H,B
144.025434,1.120121
144.66478,1.124026
145.306964,1.127909
145.951999,1.131772
146.599897,1.135613
147.250671,1.139432
147.904335,1.143229
148.5609,1.147004
149.220379,1.150756
149.882786,1.154484
150.548134,1.15819
151.216435,1.161872
151.887702,1.16553
152.56195,1.169164
153.239191,1.172773
153.919438,1.176358
154.602704,1.179918
155.289004,1.183452
155.97835,1.186961
156.670757,1.190445
157.366237,1.193902
158.064804,1.197333
158.766473,1.200738
159.471256,1.204116
160.179168,1.207468
160.890222,1.210792
161.604433,1.214089
162.321815,1.217358
163.04238,1.2206
163.766145,1.223815
164.493122,1.227001
165.223327,1.230159
165.956773,1.233288
166.693475,1.23639
167.433447,1.239462
168.176704,1.242506
168.92326,1.245522
169.673131,1.248508
170.42633,1.251465
171.182873,1.254393
171.942774,1.257292
172.706048,1.260161
173.472711,1.263001
174.242777,1.265811
175.016261,1.268592
175.793179,1.271343
176.573546,1.274065
177.357377,1.276757
178.144687,1.279419
178.935493,1.282052
179.729809,1.284655
180.527651,1.287228
181.329035,1.289771
182.133976,1.292285
182.94249,1.294769
183.754594,1.297223
184.570302,1.299648
185.389632,1.302043
186.212598,1.304408
187.039218,1.306745
187.869507,1.309051
188.703482,1.311329
189.54116,1.313577
190.382555,1.315796
191.227686,1.317986
192.076569,1.320148
192.929219,1.32228
193.785655,1.324384
194.645893,1.32646
195.509949,1.328507
196.377841,1.330526
197.249585,1.332517
198.1252,1.33448
199.004701,1.336415
199.888107,1.338323
200.775434,1.340203
201.6667,1.342057
202.561922,1.343883
203.461119,1.345683
204.364307,1.347456
205.271504,1.349203
206.182729,1.350924
207.097999,1.352619
208.017331,1.354289
208.940745,1.355933
209.868258,1.357552
210.799888,1.359146
211.735654,1.360716
212.675573,1.362262
213.619666,1.363783
214.567949,1.365281
215.520441,1.366755
216.477162,1.368206
217.43813,1.369634
218.403364,1.37104
219.372882,1.372423
220.346705,1.373785
221.32485,1.375124
222.307337,1.376443
223.294186,1.37774
224.285415,1.379016
225.281045,1.380272
226.281094,1.381508
227.285583,1.382724
228.294531,1.38392
229.307957,1.385097
230.325882,1.386256
231.348326,1.387395
232.375309,1.388517
233.406851,1.389621
234.442972,1.390707
235.483692,1.391776
236.529032,1.392828
237.579012,1.393864
238.633654,1.394883
239.692977,1.395886
240.757003,1.396874
241.825752,1.397846
242.899245,1.398804
243.977504,1.399746
245.060549,1.400675
246.148402,1.40159
247.241084,1.40249
248.338616,1.403378
249.441021,1.404252
250.548319,1.405114
251.660533,1.405963
252.777684,1.406801
253.899794,1.407626
255.026886,1.40844
256.15898,1.409243
257.2961,1.410034
258.438268,1.410815
259.585507,1.411586
260.737838,1.412347
261.895284,1.413098
263.057868,1.41384
264.225613,1.414572
265.398542,1.415295
266.576678,1.41601
267.760044,1.416716
268.948662,1.417414
270.142557,1.418104
271.341752,1.418787
272.546271,1.419462
273.756136,1.42013
274.971372,1.420791
276.192002,1.421445
277.418052,1.422093
278.649543,1.422735
279.886502,1.42337
281.128951,1.424
282.376916,1.424624
283.630421,1.425243
284.88949,1.425857
286.154148,1.426465
287.424421,1.427069
288.700332,1.427668
289.981907,1.428262
291.269171,1.428853
292.56215,1.429439
293.860868,1.430021
295.165351,1.4306
296.475625,1.431175
297.791716,1.431746
299.113649,1.432314
300.44145,1.432879
301.775145,1.433441
303.114761,1.434
304.460323,1.434556
305.811859,1.435109
307.169394,1.43566
308.532955,1.436209
309.90257,1.436755
311.278264,1.437299
312.660065,1.437841
314.048001,1.438381
315.442097,1.438919
316.842382,1.439456
318.248883,1.43999
319.661628,1.440523
321.080644,1.441055
322.505959,1.441585
323.937601,1.442114
325.375599,1.442641
326.81998,1.443168
328.270772,1.443693
329.728005,1.444217
331.191707,1.44474
332.661907,1.445262
334.138632,1.445783
335.621914,1.446303
337.111779,1.446823
338.608258,1.447341
340.111381,1.447859
341.621176,1.448377
343.137673,1.448894
344.660902,1.44941
346.190892,1.449925
347.727675,1.450441
349.271279,1.450955
350.821736,1.45147
352.379075,1.451984
353.943328,1.452497
355.514525,1.45301
357.092696,1.453523
358.677873,1.454036
360.270086,1.454548
361.869368,1.45506
363.475749,1.455572
365.089261,1.456083
366.709936,1.456595
368.337805,1.457106
369.9729,1.457617
371.615254,1.458128
373.264898,1.458639
374.921866,1.45915
376.586188,1.45966
378.257899,1.460171
379.937031,1.460681
381.623617,1.461192
383.317689,1.461702
385.019282,1.462212
386.728429,1.462723
388.445162,1.463233
390.169516,1.463743
391.901525,1.464253
393.641223,1.464763
395.388643,1.465273
397.14382,1.465784
398.906789,1.466294
400.677583,1.466804
402.456239,1.467314
404.24279,1.467824
406.037272,1.468334
407.83972,1.468844
409.650169,1.469355
411.468654,1.469865
413.295213,1.470375
415.129879,1.470885
