B,H
0.061195,23.953762
0.061734,24.060096
0.062277,24.166901
0.062825,24.274181
0.063377,24.381937
0.063935,24.490171
0.064497,24.598886
0.065063,24.708084
0.065635,24.817766
0.066212,24.927935
0.066793,25.038593
0.067379,25.149742
0.067971,25.261385
0.068567,25.373523
0.069169,25.486159
0.069775,25.599295
0.070387,25.712934
0.071004,25.827076
0.071626,25.941726
0.072254,26.056884
0.072887,26.172554
0.073525,26.288737
0.074169,26.405436
0.074818,26.522653
0.075472,26.64039
0.076132,26.75865
0.076798,26.877434
0.077469,26.996747
0.078146,27.116588
0.078829,27.236962
0.079517,27.35787
0.080212,27.479315
0.080912,27.601299
0.081618,27.723824
0.08233,27.846894
0.083048,27.97051
0.083772,28.094674
0.084502,28.21939
0.085238,28.344659
0.08598,28.470484
0.086729,28.596868
0.087483,28.723813
0.088245,28.851321
0.089012,28.979396
0.089786,29.108039
0.090566,29.237253
0.091353,29.36704
0.092147,29.497404
0.092947,29.628347
0.093754,29.75987
0.094567,29.891978
0.095387,30.024672
0.096214,30.157955
0.097048,30.29183
0.097889,30.426299
0.098737,30.561365
0.099592,30.69703
0.100453,30.833298
0.101323,30.970171
0.102199,31.107651
0.103082,31.245742
0.103973,31.384445
0.104871,31.523765
0.105776,31.663702
0.106689,31.804261
0.10761,31.945444
0.108538,32.087254
0.109473,32.229693
0.110417,32.372764
0.111368,32.516471
0.112327,32.660815
0.113293,32.805801
0.114268,32.951429
0.11525,33.097705
0.116241,33.244629
0.11724,33.392206
0.118246,33.540438
0.119261,33.689328
0.120284,33.838879
0.121316,33.989094
0.122356,34.139976
0.123404,34.291527
0.124461,34.443751
0.125526,34.596651
0.1266,34.75023
0.127683,34.90449
0.128774,35.059435
0.129874,35.215068
0.130984,35.371392
0.132101,35.52841
0.133228,35.686125
0.134364,35.84454
0.135509,36.003658
0.136664,36.163483
0.137827,36.324017
0.139,36.485263
0.140182,36.647226
0.141373,36.809907
0.142574,36.973311
0.143785,37.137439
0.145005,37.302297
0.146235,37.467886
0.147475,37.634211
0.148724,37.801273
0.149983,37.969078
0.151253,38.137627
0.152532,38.306924
0.153821,38.476973
0.155121,38.647777
0.15643,38.819339
0.15775,38.991663
0.159081,39.164752
0.160421,39.338609
0.161772,39.513237
0.163134,39.688641
0.164506,39.864824
0.165889,40.041789
0.167283,40.219539
0.168688,40.398078
0.170103,40.57741
0.17153,40.757538
0.172967,40.938466
0.174416,41.120196
0.175875,41.302734
0.177346,41.486082
0.178828,41.670243
0.180322,41.855222
0.181827,42.041023
0.183344,42.227648
0.184872,42.415101
0.186411,42.603387
0.187963,42.792509
0.189526,42.98247
0.191101,43.173274
0.192688,43.364925
0.194287,43.557427
0.195899,43.750784
0.197522,43.944999
0.199157,44.140076
0.200805,44.336019
0.202465,44.532832
0.204138,44.730518
0.205823,44.929082
0.207521,45.128528
0.209231,45.328859
0.210954,45.530079
0.21269,45.732192
0.214438,45.935203
0.2162,46.139115
0.217974,46.343932
0.219762,46.549658
0.221563,46.756298
0.223377,46.963854
0.225204,47.172332
0.227044,47.381736
0.228898,47.592069
0.230766,47.803336
0.232647,48.015541
0.234541,48.228687
0.23645,48.44278
0.238372,48.657824
0.240308,48.873821
0.242258,49.090778
0.244221,49.308698
0.246199,49.527585
0.248191,49.747444
0.250197,49.968279
0.252218,50.190094
0.254252,50.412894
0.256301,50.636683
0.258365,50.861465
0.260443,51.087245
0.262535,51.314027
0.264643,51.541816
0.266765,51.770617
0.268901,52.000433
0.271053,52.231269
0.273219,52.463129
0.275401,52.69602
0.277597,52.929943
0.279809,53.164906
0.282036,53.400911
0.284277,53.637964
0.286535,53.876069
0.288807,54.115232
0.291095,54.355456
0.293399,54.596746
0.295718,54.839107
0.298052,55.082545
0.300403,55.327063
0.302769,55.572666
0.30515,55.81936
0.307548,56.067149
0.309961,56.316037
0.312391,56.566031
0.314836,56.817134
0.317297,57.069352
0.319775,57.32269
0.322268,57.577152
0.324778,57.832744
0.327304,58.08947
0.329846,58.347336
0.332405,58.606347
0.33498,58.866508
0.337571,59.127823
0.340179,59.390299
0.342804,59.653939
0.345445,59.91875
0.348103,60.184737
0.350777,60.451904
0.353468,60.720257
0.356176,60.989801
0.358901,61.260542
0.361642,61.532485
0.3644,61.805635
0.367175,62.079998
0.369968,62.355578
0.372777,62.632382
0.375603,62.910415
0.378446,63.189681
0.381306,63.470188
0.384183,63.75194
0.387077,64.034942
0.389989,64.319201
0.392917,64.604721
0.395863,64.89151
0.398826,65.179571
0.401806,65.46891
0.404804,65.759535
0.407818,66.051449
0.41085,66.344659
0.4139,66.639171
0.416966,66.93499
0.42005,67.232123
0.423151,67.530574
0.42627,67.83035
0.429406,68.131457
0.432559,68.433901
0.435729,68.737687
0.438917,69.042822
0.442122,69.349311
0.445345,69.657161
0.448584,69.966378
0.451842,70.276967
0.455116,70.588935
0.458408,70.902287
0.461717,71.217031
0.465043,71.533172
0.468386,71.850716
0.471747,72.16967
0.475125,72.49004
0.47852,72.811832
0.481932,73.135052
0.485361,73.459707
0.488808,73.785803
0.492271,74.113347
0.495752,74.442345
0.499249,74.772804
0.502764,75.104729
0.506295,75.438128
0.509843,75.773007
0.513408,76.109372
0.51699,76.447231
0.520588,76.786589
0.524203,77.127454
0.527835,77.469832
0.531483,77.81373
0.535147,78.159154
0.538828,78.506112
0.542526,78.85461
0.546239,79.204655
0.549969,79.556254
0.553715,79.909413
0.557476,80.264141
0.561254,80.620443
0.565048,80.978327
0.568857,81.337799
0.572682,81.698867
0.576523,82.061538
0.580379,82.425819
0.58425,82.791717
0.588137,83.159239
0.592039,83.528393
0.595956,83.899186
0.599888,84.271624
0.603834,84.645716
0.607796,85.021468
0.611771,85.398889
0.615762,85.777984
0.619766,86.158763
0.623785,86.541232
0.627818,86.925399
0.631865,87.311271
0.635926,87.698856
0.64,88.088162
0.644087,88.479196
0.648188,88.871965
0.652303,89.266479
0.65643,89.662743
0.66057,90.060767
0.664722,90.460557
0.668887,90.862122
0.673065,91.26547
0.677254,91.670608
0.681456,92.077545
0.685669,92.486288
0.689894,92.896846
0.69413,93.309226
0.698378,93.723437
0.702636,94.139486
0.706905,94.557383
0.711185,94.977134
0.715475,95.398749
0.719776,95.822235
0.724086,96.247602
0.728406,96.674856
0.732736,97.104007
0.737074,97.535064
0.741422,97.968033
0.745779,98.402925
0.750144,98.839747
0.754518,99.278509
0.758899,99.719218
0.763289,100.161883
0.767686,100.606514
0.77209,101.053118
0.776502,101.501705
0.78092,101.952283
0.785345,102.404861
0.789776,102.859449
0.794213,103.316054
0.798655,103.774686
0.803104,104.235354
0.807557,104.698068
0.812015,105.162835
0.816478,105.629665
0.820945,106.098568
0.825416,106.569552
0.82989,107.042627
0.834368,107.517802
0.838849,107.995086
0.843333,108.474489
0.847819,108.95602
0.852308,109.439689
0.856798,109.925505
0.86129,110.413477
0.865782,110.903616
0.870276,111.39593
0.87477,111.89043
0.879265,112.387125
0.883759,112.886025
0.888252,113.387139
0.892745,113.890478
0.897237,114.396051
0.901727,114.903869
0.906215,115.413941
0.910701,115.926277
0.915184,116.440888
0.919665,116.957783
0.924142,117.476972
0.928615,117.998466
0.933085,118.522276
0.93755,119.04841
0.94201,119.57688
0.946466,120.107696
0.950915,120.640869
0.955359,121.176408
0.959797,121.714324
0.964228,122.254629
0.968652,122.797331
0.973069,123.342443
0.977478,123.889975
0.981879,124.439937
0.986272,124.992341
