H,B
0,0
5.830952,0.003551
5.856836,0.003583
5.882835,0.003616
5.90895,0.003648
5.935181,0.003681
5.961527,0.003715
5.987991,0.003748
6.014573,0.003782
6.041272,0.003816
6.06809,0.003851
6.095027,0.003885
6.122084,0.003921
6.14926,0.003956
6.176558,0.003992
6.203976,0.004028
6.231516,0.004064
6.259179,0.004101
6.286964,0.004138
6.314873,0.004175
6.342905,0.004213
6.371062,0.004251
6.399344,0.004289
6.427751,0.004328
6.456285,0.004367
6.484945,0.004407
6.513732,0.004446
6.542648,0.004487
6.571691,0.004527
6.600864,0.004568
6.630166,0.004609
6.659598,0.004651
6.689161,0.004693
6.718855,0.004735
6.74868,0.004778
6.778639,0.004821
6.80873,0.004865
6.838955,0.004909
6.869314,0.004953
6.899807,0.004998
6.930436,0.005043
6.961201,0.005088
6.992103,0.005134
7.023142,0.005181
7.054318,0.005227
7.085633,0.005275
7.117087,0.005322
7.148681,0.00537
7.180415,0.005419
7.212289,0.005468
7.244306,0.005517
7.276464,0.005567
7.308765,0.005617
7.341209,0.005668
7.373798,0.005719
7.406531,0.00577
7.43941,0.005823
7.472434,0.005875
7.505605,0.005928
7.538923,0.005982
7.57239,0.006036
7.606004,0.00609
7.639768,0.006145
7.673682,0.0062
7.707746,0.006256
7.741962,0.006313
7.77633,0.00637
7.81085,0.006427
7.845523,0.006485
7.88035,0.006544
7.915332,0.006603
7.950469,0.006662
7.985762,0.006722
8.021212,0.006783
8.056819,0.006844
8.092584,0.006906
8.128508,0.006968
8.164591,0.007031
8.200835,0.007095
8.23724,0.007158
8.273806,0.007223
8.310534,0.007288
8.347425,0.007354
8.384481,0.00742
8.4217,0.007487
8.459085,0.007555
8.496636,0.007623
8.534354,0.007691
8.572239,0.007761
8.610292,0.007831
8.648514,0.007901
8.686906,0.007973
8.725468,0.008044
8.764201,0.008117
8.803107,0.00819
8.842185,0.008264
8.881436,0.008338
8.920862,0.008414
8.960463,0.008489
9.000239,0.008566
9.040193,0.008643
9.080323,0.008721
9.120632,0.0088
9.161119,0.008879
9.201787,0.008959
9.242634,0.00904
9.283664,0.009121
9.324875,0.009203
9.366269,0.009286
9.407847,0.00937
9.44961,0.009454
9.491558,0.009539
9.533692,0.009625
9.576013,0.009712
9.618522,0.0098
9.66122,0.009888
9.704107,0.009977
9.747185,0.010067
9.790454,0.010157
9.833915,0.010249
9.877568,0.010341
9.921416,0.010434
9.965459,0.010528
10.009696,0.010623
10.054131,0.010719
10.098762,0.010815
10.143592,0.010912
10.18862,0.011011
10.233849,0.01111
10.279278,0.01121
10.324909,0.011311
10.370743,0.011412
10.416779,0.011515
10.463021,0.011619
10.509467,0.011723
10.55612,0.011829
10.60298,0.011935
10.650048,0.012043
10.697325,0.012151
10.744811,0.01226
10.792509,0.012371
10.840418,0.012482
10.88854,0.012594
10.936876,0.012707
10.985426,0.012822
11.034191,0.012937
11.083173,0.013053
11.132373,0.013171
11.181791,0.013289
11.231428,0.013409
11.281286,0.013529
11.331365,0.013651
11.381666,0.013773
11.432191,0.013897
11.482939,0.014022
11.533914,0.014148
11.585114,0.014275
11.636542,0.014404
11.688198,0.014533
11.740083,0.014664
11.792199,0.014795
11.844546,0.014928
11.897125,0.015063
11.949938,0.015198
12.002985,0.015334
12.056268,0.015472
12.109787,0.015611
12.163544,0.015751
12.217539,0.015893
12.271774,0.016035
12.32625,0.016179
12.380968,0.016325
12.435928,0.016471
12.491133,0.016619
12.546582,0.016768
12.602278,0.016919
12.658221,0.017071
12.714413,0.017224
12.770853,0.017379
12.827545,0.017535
