Time,U,V,W
0,4.27E+08,-2.14E+08,-2.14E+08
0.0030012,4.27E+08,-2.06E+08,-2.21E+08
0.006002401,4.27E+08,-1.98E+08,-2.29E+08
0.009003601,4.26E+08,-1.90E+08,-2.36E+08
0.012004802,4.26E+08,-1.82E+08,-2.44E+08
0.015006002,4.25E+08,-1.74E+08,-2.51E+08
0.018007203,4.24E+08,-1.66E+08,-2.58E+08
0.021008403,4.23E+08,-1.57E+08,-2.65E+08
0.024009604,4.21E+08,-1.49E+08,-2.72E+08
0.027010804,4.20E+08,-1.41E+08,-2.79E+08
0.030012005,4.18E+08,-1.32E+08,-2.86E+08
0.033013205,4.16E+08,-1.23E+08,-2.92E+08
0.036014406,4.14E+08,-1.15E+08,-2.99E+08
0.039015606,4.12E+08,-1.06E+08,-3.05E+08
0.042016807,4.09E+08,-9.76E+07,-3.11E+08
0.045018007,4.06E+08,-8.88E+07,-3.18E+08
0.048019208,4.03E+08,-8.01E+07,-3.23E+08
0.051020408,4.00E+08,-7.13E+07,-3.29E+08
0.054021609,3.97E+08,-6.24E+07,-3.35E+08
0.057022809,3.94E+08,-5.35E+07,-3.40E+08
0.06002401,3.90E+08,-4.47E+07,-3.46E+08
0.06302521,3.87E+08,-3.58E+07,-3.51E+08
0.066026411,3.83E+08,-2.68E+07,-3.56E+08
0.069027611,3.79E+08,-1.79E+07,-3.61E+08
0.072028812,3.74E+08,-8947511.913,-3.65E+08
0.075030012,3.70E+08,2.62E-08,-3.70E+08
0.078031212,3.65E+08,8947511.913,-3.74E+08
0.081032413,3.61E+08,1.79E+07,-3.79E+08
0.084033613,3.56E+08,2.68E+07,-3.83E+08
0.087034814,3.51E+08,3.58E+07,-3.87E+08
0.090036014,3.46E+08,4.47E+07,-3.90E+08
0.093037215,3.40E+08,5.35E+07,-3.94E+08
0.096038415,3.35E+08,6.24E+07,-3.97E+08
0.099039616,3.29E+08,7.13E+07,-4.00E+08
0.102040816,3.23E+08,8.01E+07,-4.03E+08
0.105042017,3.18E+08,8.88E+07,-4.06E+08
0.108043217,3.11E+08,9.76E+07,-4.09E+08
0.111044418,3.05E+08,1.06E+08,-4.12E+08
0.114045618,2.99E+08,1.15E+08,-4.14E+08
0.117046819,2.92E+08,1.23E+08,-4.16E+08
0.120048019,2.86E+08,1.32E+08,-4.18E+08
0.12304922,2.79E+08,1.41E+08,-4.20E+08
0.12605042,2.72E+08,1.49E+08,-4.21E+08
0.129051621,2.65E+08,1.57E+08,-4.23E+08
0.132052821,2.58E+08,1.66E+08,-4.24E+08
0.135054022,2.51E+08,1.74E+08,-4.25E+08
0.138055222,2.44E+08,1.82E+08,-4.26E+08
0.141056423,2.36E+08,1.90E+08,-4.26E+08
0.144057623,2.29E+08,1.98E+08,-4.27E+08
0.147058824,2.21E+08,2.06E+08,-4.27E+08
0.150060024,2.14E+08,2.14E+08,-4.27E+08
0.153061224,2.06E+08,2.21E+08,-4.27E+08
0.156062425,1.98E+08,2.29E+08,-4.27E+08
0.159063625,1.90E+08,2.36E+08,-4.26E+08
